buller2,ind_weight,ind_month,ind_season,treatment_protocol
0,466,2021-01,Summer,AB11
0,439,2021-01,Summer,AB11
1,406,2021-01,Summer,AB11
0,438,2021-01,Summer,AB11
0,443,2021-01,Summer,AB11
0,441,2021-01,Summer,AB11
0,415,2021-01,Summer,AB11
0,376,2021-01,Summer,AB11
0,462,2021-01,Summer,AB11
1,430,2021-01,Summer,AB11
0,466,2021-01,Summer,AB11
1,458,2021-01,Summer,AB11
0,432,2021-01,Summer,AB11
0,419,2021-01,Summer,AB11
0,438,2021-01,Summer,AB11
1,420,2021-01,Summer,AB11
0,440,2021-01,Summer,AB11
1,424,2021-01,Summer,AB11
0,427,2021-01,Summer,AB11
0,358,2021-01,Summer,AB11
0,423,2021-01,Summer,AB11
0,358,2021-01,Summer,AB11
0,444,2021-01,Summer,AB11
0,448,2021-01,Summer,AB11
0,443,2021-01,Summer,AB11
0,408,2021-01,Summer,AB11
1,431,2021-01,Summer,AB11
0,467,2021-01,Summer,AB11
0,452,2021-01,Summer,AB11
0,467,2021-01,Summer,AB11
0,376,2021-01,Summer,AB11
0,437,2021-01,Summer,AB11
1,388,2021-01,Summer,AB11
0,413,2021-01,Summer,AB11
0,442,2021-01,Summer,AB11
1,453,2021-01,Summer,AB11
0,456,2021-01,Summer,AB11
0,448,2021-01,Summer,AB11
0,429,2021-01,Summer,AB11
0,465,2021-01,Summer,AB11
0,448,2021-01,Summer,AB11
0,471,2021-01,Summer,AB11
0,435,2021-01,Summer,AB11
0,420,2021-01,Summer,AB11
0,459,2021-01,Summer,AB11
1,454,2021-01,Summer,AB11
0,432,2021-01,Summer,AB11
0,439,2021-01,Summer,AB11
0,417,2021-01,Summer,AB11
1,435,2021-01,Summer,AB11
0,395,2021-01,Summer,AB11
0,457,2021-01,Summer,AB11
0,447,2021-01,Summer,AB11
0,451,2021-01,Summer,AB11
0,451,2021-01,Summer,AB11
0,450,2021-01,Summer,AB11
0,462,2021-01,Summer,AB11
0,461,2021-01,Summer,AB11
0,462,2021-01,Summer,AB11
0,408,2021-01,Summer,AB11
0,437,2021-01,Summer,AB11
0,447,2021-01,Summer,AB11
1,447,2021-01,Summer,AB11
1,405,2021-01,Summer,AB11
1,385,2021-01,Summer,AB11
0,389,2021-01,Summer,AB11
0,391,2021-01,Summer,AB11
0,411,2021-01,Summer,AB11
0,439,2021-01,Summer,AB11
0,427,2021-01,Summer,AB11
0,446,2021-01,Summer,AB11
0,440,2021-01,Summer,AB11
0,436,2021-01,Summer,AB11
0,383,2021-01,Summer,AB11
1,379,2021-01,Summer,AB11
1,374,2021-01,Summer,ANA10
0,392,2021-01,Summer,ANA10
0,439,2021-01,Summer,AB11
0,400,2021-01,Summer,AB11
1,415,2021-01,Summer,AB11
0,387,2021-01,Summer,AB11
1,395,2021-01,Summer,AB11
0,411,2021-01,Summer,AB11
0,427,2021-01,Summer,AB11
0,422,2021-01,Summer,AB11
0,456,2021-01,Summer,AB11
1,429,2021-01,Summer,ANA10
0,435,2021-01,Summer,AB11
0,448,2021-01,Summer,AB11
0,418,2021-01,Summer,AB11
0,441,2021-01,Summer,AB11
0,415,2021-01,Summer,AB11
0,423,2021-01,Summer,AB11
0,420,2021-01,Summer,AB11
1,383,2021-01,Summer,AB11
0,448,2021-01,Summer,AB11
0,462,2021-01,Summer,AB11
1,417,2021-01,Summer,AB11
0,402,2021-01,Summer,AB11
0,394,2021-01,Summer,AB11
0,406,2021-01,Summer,AB11
0,386,2021-01,Summer,AB11
0,402,2021-01,Summer,AB11
0,403,2021-01,Summer,ANA10
1,387,2021-01,Summer,ANA10
1,445,2021-01,Summer,AB11
0,468,2021-01,Summer,AB11
0,362,2021-01,Summer,AB11
0,450,2021-01,Summer,AB11
0,428,2021-01,Summer,AB11
0,463,2021-01,Summer,AB11
1,455,2021-01,Summer,AB11
0,428,2021-01,Summer,AB11
0,449,2021-01,Summer,AB11
0,442,2021-01,Summer,AB11
0,442,2021-01,Summer,AB11
1,450,2021-01,Summer,AB11
0,428,2021-01,Summer,AB11
0,435,2021-01,Summer,AB11
0,473,2021-01,Summer,AB11
0,445,2021-01,Summer,AB11
0,461,2021-01,Summer,AB11
0,454,2021-01,Summer,AB11
0,396,2021-01,Summer,AB11
1,426,2021-01,Summer,AB11
0,395,2021-01,Summer,AB11
1,455,2021-01,Summer,AB11
1,417,2021-01,Summer,ANA10
0,416,2021-01,Summer,AB11
0,429,2021-01,Summer,AB11
1,448,2021-01,Summer,ANA10
0,388,2021-01,Summer,AB11
